.png,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,52
cname,阿伦・艾弗森,阿马雷・斯塔德迈尔,安德烈・伊戈达拉,保罗・皮尔斯,保罗・乔治,本・西蒙斯,布雷克・格里芬,昌西・比卢普斯,德怀恩・韦德,德怀特・霍华德,德克・诺维茨基,德里克・罗斯,德隆・威廉姆斯,德马库斯・考辛斯,德玛尔・德罗赞,蒂姆・邓肯,多诺万・米切尔,戈登・海沃德,戈兰・德拉季奇,格兰特・希尔,贾森・基德,贾森・特里,杰森・塔图姆,卡尔-安东尼・唐斯,卡梅隆・安东尼,凯里・欧文,凯文・杜兰特,凯文・加内特,凯文・乐福,科比・布莱恩特,科怀・伦纳德,克莱・汤普森,克里斯・保罗,克里斯・波什,拉简・朗多,拉马库斯・阿尔德里奇,拉塞尔・威斯布鲁克,勒布朗・詹姆斯,雷・阿伦,林书豪,马努・吉诺比利,乔尔・恩比德,赛尔吉・伊巴卡,沙奎尔・奥尼尔,史蒂夫・纳什,斯蒂芬・库里,特雷西・麦克格雷迪,托尼・帕克,姚明,约什・史密斯,扎克・兰多夫,詹姆斯・哈登,周琦
color,0xFF7B2E,0xE6302D,0x5D9CC8,0xEDB336,0xFB3434,0x20A27E,0xE3007E,0xE3007E,0xF40009,0xFF0077,0x00FF70,0xB91820,0xF8285C,0xF8D324,0x1BCB95,0xF48A34,0x0081D7,0xC6E16C,0xDB4630,0xF84CBA,0xE53836,0xFF5959,0xFCD209,0xF08300,0xA4C639,0xF63E3F,0x327ED3,0x803EDE,0x285C9B,0x2672EC,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E,0x4297CF,0x75ACE5,0xE1551C,0x5A9A0D,0xF04FF7,0x746979,0x0891BD,0x01B0FF,0xE8390D,0x7BA843,0xF07530,0xDF574E
2012年3月,11543,0,0,0,0,0,0,0,7550,4665,0,5635,0,0,0,0,0,0,0,0,0,0,0,0,4686,0,5521,0,0,26052,0,0,0,0,0,0,0,10452,0,74401,0,0,0,0,0,0,9127,0,0,0,0,0,0
2012年4月,25522,0,0,0,0,0,7190,0,0,0,0,13489,0,0,0,0,0,0,0,0,0,0,0,0,5841,0,7773,0,0,21023,0,0,0,0,0,0,0,8286,0,20151,0,0,0,0,10202,0,8578,0,0,0,0,0,0
2012年5月,24201,0,0,0,0,0,0,0,11707,0,0,0,0,0,0,12840,0,0,0,0,0,0,0,0,0,12036,16793,0,0,63104,0,0,0,0,0,0,0,12001,0,10849,10495,0,0,0,0,0,16425,0,0,0,0,0,0
2012年6月,14234,0,0,0,0,0,0,0,25728,0,0,0,0,0,0,12626,0,0,0,0,0,0,0,0,0,0,37579,11790,0,27097,0,0,0,9781,7859,0,0,92008,0,0,0,0,0,0,0,0,0,0,0,0,0,8689,0
2012年7月,4146,0,0,0,0,0,0,0,0,9126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5908,4973,0,24207,0,0,0,0,0,0,0,8548,17672,20161,0,0,0,0,34193,0,4893,0,0,0,0,0,0
2012年8月,6088,0,0,0,0,0,0,0,0,33360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8888,0,22135,0,0,61877,0,0,0,0,0,0,0,21688,0,8409,5389,0,0,0,7039,0,6003,0,0,0,0,0,0
2012年9月,5924,0,0,0,0,0,0,0,3451,3639,0,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,5370,0,3781,0,15496,0,0,0,0,0,0,0,5026,0,6229,0,0,0,0,0,0,5067,0,0,0,0,0,0
2012年10月,9338,0,0,0,0,0,0,0,8858,4495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17132,0,0,0,0,0,0,0,8859,7231,8550,0,0,0,0,5227,0,25624,0,0,0,0,22043,0
2012年11月,0,0,0,0,0,0,0,0,6067,0,0,0,0,0,0,5685,0,0,0,0,0,0,0,0,0,0,6614,0,0,24150,0,0,0,0,5800,0,0,8140,5921,14639,0,0,0,0,0,0,37107,0,0,0,0,31083,0
2012年12月,6704,0,0,0,0,0,0,0,6385,5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12073,0,8871,0,0,29883,0,0,0,0,0,0,0,11201,0,13618,0,0,0,0,10431,0,51284,0,0,0,0,0,0
